Order ID,Customer Name,Gender,Age,Device used,City,Product Category,Purchase time,Payment mode,Order Date,Order Day,Amount spent by per user,Discount,Return item,Total Amount
ORD00001,Wendy Black,Male,19,Tablet,Bangalore,Clothing,Afternoon,Debit Card,2024-11-27,Wednesday,14861.19,5268.51,Yes,9592.68
ORD00002,Ronald Lawson,Female,20,Mobile,Delhi,Clothing,Afternoon,Cash on Delivery,2023-12-17,Sunday,12239.37,3703.15,No,8536.220000000001
ORD00003,Kelly Jensen,Male,46,Tablet,Bangalore,Electronics,Afternoon,Net Banking,2023-10-21,Saturday,7134.89,855.94,No,6278.950000000001
ORD00004,Johnny Adams,Male,23,Laptop,Delhi,Footwear,Evening,Cash on Delivery,2025-06-13,Friday,5658.16,393.54,No,5264.62
ORD00005,Timothy Walker,Male,42,Mobile,Chennai,Footwear,Evening,Cash on Delivery,2023-11-05,Sunday,4249.63,345.49,Yes,3904.1400000000003
ORD00006,Duane Morton,Female,23,Mobile,Pune,Electronics,Night,UPI,2023-09-03,Sunday,9341.5,3973.4,Yes,5368.1
ORD00007,Shelia Jones,Female,40,Mobile,Kolkata,Footwear,Morning,Cash on Delivery,2024-12-26,Thursday,12882.08,3740.48,Yes,9141.6
ORD00008,Steven Gomez,Male,47,Laptop,Bangalore,Accessories,Afternoon,UPI,2024-01-10,Wednesday,16935.61,6760.69,Yes,10174.920000000002
ORD00009,Jennifer Smith,Male,38,Laptop,Bangalore,Electronics,Afternoon,Cash on Delivery,2024-06-17,Monday,17589.17,3370.17,No,14218.999999999998
ORD00010,Kurt Williams,Female,59,Laptop,Mumbai,Footwear,Afternoon,Debit Card,2024-05-14,Tuesday,15027.29,4396.08,No,10631.210000000001
ORD00011,Jessica Horn,Female,41,Mobile,Mumbai,Books,Night,Credit Card,2023-12-23,Saturday,15237.75,6666.46,Yes,8571.29
ORD00012,David Moore,Male,45,Tablet,Delhi,Home Decor,Night,Cash on Delivery,2025-04-18,Friday,19924.37,5740.24,Yes,14184.13
ORD00013,Tina Hart,Male,52,Laptop,Pune,Accessories,Evening,Credit Card,2025-06-23,Monday,6223.25,754.08,Yes,5469.17
ORD00014,Stephanie Andrews,Female,50,Mobile,Chennai,Electronics,Evening,Cash on Delivery,2023-10-20,Friday,12374.92,1469.86,Yes,10905.06
ORD00015,Kaitlyn Bowman,Male,56,Laptop,Hyderabad,Electronics,Morning,UPI,2024-02-15,Thursday,17635.08,7481.67,No,10153.410000000002
ORD00016,Wendy Nixon,Male,21,Mobile,Chennai,Electronics,Morning,Net Banking,2023-08-05,Saturday,16412.45,8043.63,Yes,8368.82
ORD00017,Lauren Roach,Male,60,Laptop,Chennai,Clothing,Evening,Cash on Delivery,2024-11-01,Friday,17512.44,4210.2,Yes,13302.239999999998
ORD00018,Robin Hess MD,Male,37,Laptop,Kolkata,Accessories,Evening,Net Banking,2024-03-07,Thursday,18042.47,4567.79,Yes,13474.68
ORD00019,Mitchell Avila,Male,22,Laptop,Delhi,Books,Afternoon,Cash on Delivery,2025-06-29,Sunday,4794.24,392.87,Yes,4401.37
ORD00020,Brianna Perez,Male,22,Mobile,Pune,Footwear,Morning,Cash on Delivery,2024-05-31,Friday,5141.09,1804.73,Yes,3336.36
ORD00021,Shawn Mcguire,Male,54,Tablet,Hyderabad,Clothing,Night,Net Banking,2024-07-27,Saturday,4212.99,394.42,No,3818.5699999999997
ORD00022,Catherine Dixon,Female,45,Laptop,Hyderabad,Accessories,Morning,Credit Card,2025-07-01,Tuesday,1681.95,635.27,Yes,1046.68
ORD00023,Robert Brown,Male,30,Mobile,Chennai,Home Decor,Afternoon,Net Banking,2025-03-30,Sunday,4078.02,1052.87,Yes,3025.15
ORD00024,Tamara Serrano,Female,53,Mobile,Delhi,Accessories,Morning,Credit Card,2025-04-26,Saturday,18564.16,8018.1,Yes,10546.06
ORD00025,Walter Barrera,Female,49,Laptop,Mumbai,Home Decor,Morning,Debit Card,2024-04-11,Thursday,7889.98,3892.83,No,3997.1499999999996
ORD00026,Jeffrey Stephens,Female,36,Laptop,Kolkata,Accessories,Night,Debit Card,2024-12-18,Wednesday,4203.01,621.9,Yes,3581.11
ORD00027,James Atkins,Male,38,Mobile,Delhi,Books,Night,Cash on Delivery,2024-06-16,Sunday,18428.05,5325.83,Yes,13102.22
ORD00028,Dr. Micheal Hall,Male,29,Mobile,Chennai,Electronics,Afternoon,Net Banking,2023-10-07,Saturday,2837.79,1278.79,Yes,1559.0
ORD00029,Ethan Nichols,Male,57,Mobile,Hyderabad,Accessories,Evening,UPI,2025-06-21,Saturday,4483.05,1668.98,Yes,2814.07
ORD00030,Stephanie George,Female,43,Mobile,Kolkata,Accessories,Evening,Net Banking,2024-01-27,Saturday,6665.46,2588.46,Yes,4077.0
ORD00031,Holly Olson,Male,47,Tablet,Chennai,Electronics,Morning,Cash on Delivery,2024-06-03,Monday,4656.51,788.53,No,3867.9800000000005
ORD00032,Benjamin Horton,Male,33,Laptop,Bangalore,Clothing,Night,Cash on Delivery,2024-04-12,Friday,14219.03,4624.81,Yes,9594.220000000001
ORD00033,Tonya Morgan,Female,60,Mobile,Mumbai,Footwear,Morning,Credit Card,2023-11-24,Friday,14977.13,1796.53,No,13180.599999999999
ORD00034,Michael Lopez,Male,39,Mobile,Kolkata,Accessories,Evening,Cash on Delivery,2024-08-17,Saturday,10026.37,4586.08,Yes,5440.290000000001
ORD00035,Luis Garrett,Male,58,Laptop,Pune,Footwear,Morning,Credit Card,2024-02-07,Wednesday,7004.35,762.56,No,6241.790000000001
ORD00036,Seth Vega,Male,46,Tablet,Kolkata,Home Decor,Morning,Credit Card,2025-01-26,Sunday,1967.26,880.15,Yes,1087.1100000000001
ORD00037,Christopher Brown,Male,41,Tablet,Chennai,Clothing,Night,Debit Card,2025-03-16,Sunday,1315.66,281.67,Yes,1033.99
ORD00038,Jeremy Carlson,Female,31,Tablet,Mumbai,Accessories,Morning,UPI,2023-10-11,Wednesday,15712.27,7036.91,No,8675.36
ORD00039,Angela Davenport,Male,33,Mobile,Pune,Clothing,Night,Credit Card,2024-04-30,Tuesday,3997.53,1862.93,No,2134.6000000000004
ORD00040,Wendy Vaughn,Male,35,Mobile,Pune,Accessories,Morning,Net Banking,2024-02-21,Wednesday,17507.25,7639.59,Yes,9867.66
ORD00041,Destiny Mills,Male,47,Laptop,Bangalore,Clothing,Afternoon,Credit Card,2023-10-16,Monday,13370.65,3066.02,No,10304.63
ORD00042,Vanessa Snyder,Male,35,Laptop,Kolkata,Books,Night,Cash on Delivery,2024-06-29,Saturday,6957.42,434.28,No,6523.14
ORD00043,Corey Davis,Male,55,Laptop,Delhi,Electronics,Night,UPI,2024-02-06,Tuesday,14706.63,2811.24,Yes,11895.39
ORD00044,Eric Davies,Female,54,Mobile,Bangalore,Electronics,Night,Credit Card,2024-12-02,Monday,10638.45,4392.93,Yes,6245.52
ORD00045,Melissa Jimenez,Female,45,Mobile,Kolkata,Footwear,Evening,Credit Card,2024-12-21,Saturday,14535.21,2691.12,No,11844.09
ORD00046,Erin Collins,Female,38,Laptop,Kolkata,Footwear,Afternoon,Debit Card,2024-11-26,Tuesday,8698.7,4115.91,Yes,4582.790000000001
ORD00047,Jesse Hall,Female,43,Tablet,Pune,Electronics,Evening,UPI,2023-12-05,Tuesday,4598.56,1855.94,No,2742.6200000000003
ORD00048,Angela Patel,Female,46,Laptop,Kolkata,Clothing,Night,Debit Card,2024-04-16,Tuesday,13347.59,2371.92,No,10975.67
